
AD Eventus - Cursos de Atualização;;adrianatessitore@zaz.com.br;;(19) 2540342;;R. Pde. Almeida, 274 Cambuí;;;;13025-250;Campinas;SP;;;;;;Cursos de Espec.;Escola Superior
ADVENTISTA DE PG DE JUNDIAI ESCOLA;;escolaajundiai@hotmail.com;;(011) 4526-2038;;Rua Tapajós  262;;;AGAPEAMA;13203-260;JUNDIAI;SP;;;;;;Escolas de Jundiaí;Escola
AGAB - ASSOCIAÇÃO DE BRINQUEDOTECAS - MARLY;;agabi.sm@terra.com.br;;(55) 222-6330;;RUA DO ACAMPAMENTO, 558 SALA 304;;;;97050-002;SANTA MARIA;;;;;;;Distribuidora de Brinquedos;Distribuição
Amigos do Livro;;amigosdolivro@terra.com.br;;2015788;;Av. Júlio Buono,;;;Vila Gustavo;02201-000;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Ana Cristina Melo;;ana_cristina_melo@bol.com.br;;(19) 3861-1234;;;;;;;;;;;;;;Entidades;Entidades
ANL - Associação Nacional de Livrarias;;anl.livrarias@uol.com.br;;(11) 3337-5419 / 3873-7111;;Rua Marquês de Itu,408 - 7 andar - cjs 71 e 72;;;---;01223-000;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
ANL Assoc. Nacional de Livrarias Francisco E. Xavier Gomes;;anl.livrarias@uol.com.br;;livraria 9873-7111 3337-5419;;Marques de Itu, 408 7° andar cjs. 71 e 72;;;;01223-000;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
APAE - JUNDIAÍ;;apae@apaejundiai.com.br;;4526-1150 Fax: 4526-1477;;Rua Franscisco Telles, 475;;;;13202-550;Jundiaí;SP;;;;;;;Escola Superior
APAE - MOGI DAS CRUZES;;seiguerra@bol.com.br;;4799-9548;;;;;;;Mogi das Cruzes;SP;;;;;;;Escola Superior
APAE-Inst. de Pesq. Estudos e Preparação na Área de Def. mental;;apae@apaesp.com.org.br;;(11)  5080-7007 / 5080-7031;;Rua Loefgren;2109;;;0404-900;São Paulo;SP;;;;;;Cursos de Espec.;Escola Superior
APEOESP - São Paulo;;convenio@apeoesp.org.br;;(11) 33506000 / 2239958;;Praça da República, 282;;;;01045-000;Centro;SP;;;;;;Sindicatos;Escola Superior
Ary Books Livraria Ary / Verônica;;aribooks@ig.com.br;;3695-0205;236-8470;Itambé, 45;;;;;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Assoc. Cultural e Educacional de Franca;;webmaster@unifran.br;;(16) 724-2211 / 722-0086;;Av. Dr. Armando Salles Oliveira, 201 - Pq. Universitário;;;;14404-600;Franca;SP;;;;;;Cursos de Espec.;Escola Superior
Assoc. dos Fonoaudiólogos de Cruzeiro de Região;;afcrl@hotmail.com;;;;;;;;;;;;;;;;;Escola Superior
Assoc. dos Fonoaudiólogos de Cruzeiro e Região;;afcr1@hotmail.com;;(12) 543-5705;;R. Cel. José de Castro, 840;;;;12700-000;Cruzeiro;SP;;;;;;Associação;Escola Superior
Assoc. dos Fonoaudiólogos de Jundiaí e Região;;fonojund@bol.com.br;;(11) 7396-1590 / 7396-7075 / 434-2268;;R. Petronilha Antunes, 05;;;;13200-160;Jundiaí;SP;;;;;;Associação;Escola Superior
Associação Brasileira de Estudos de Inteligência Múltiplas e Emocional;;clara@wide.com.br;;;;Rua Frei Manoel da Ressureição,1171;;;;;Campinas;SP;;;;;;;Escola Superior
Bed Brasilivros;;brasilivrosedit@uol.com.br;;3371-5144/3284-8155;3371-5156 / 5196/5194/5193;Conselheiro Ramalho,701;;;Bela Vista;01325-001;São Paulo;;;;;;;Distribuidora de Livros;Distribuição
Book Toy Brinquedos e Livros Ltda;;livraria@booktoy.com.br;;(16) 3624-5755   9994-2873;;Rua  Laguna, 934;;;Jardim Paulista;14090-060;Ribeirão Preto;;;;;;;Distribuidora de Livros;Distribuição
BRASILIVROS EDITORA E DISTRIBUIDORA LTDA;;BRASILIVROSEDIT@UOL.COM.BR;;08007712235 / 33715144;3371-5156;CONSELHEIRO RAMALHO, 701;;;BELA VISTA;01.325-001;SÃO PAULO;;;;;;;Distribuidora de Livros;Distribuição
CATAVENTO DISTRIBUIDORA DE LIVROS LTDA;;catavento@uol.com.br;;289-0811 289-0023 289-0223;251-3756;CONSELHEIRO RAMALHO, 928;;;;01.325-000;SÃO PAULO;;;;;;;Distribuidora de Livros;Distribuição
CEDIAU - Centro de Estudos dos Distúrbios da Audição;;cediau@terra.com.br;;(11) 3141-0289 / 286-0250;;R. Manoel da Nóbrega, 431;;;;04001-082;São Paulo;SP;;;;;;Cursos de Espec.;Escola Superior
CEEC - CENTRO EVANGÉLICO  DE EDUCAÇÃO E CULTURA;;escolaevangelica@upol.com.br;;(19) 3894-6585;;Rua Tuiuti, 548 - Centro;;;;;Indaiatuba;SP;;;;;;Entidades;Entidades
CEFAC - Centro Espec. Fonoaudiologia Clínica;;cefac@cefac.br;;(11) 3675-1677;;R. Caiowaá, 664;;;;05018-000;São Paulo;SP;;;;;;Cursos de Espec.;Escola Superior
Centro de Atendimento Especializado CATES/FONO;;rafigarcez@bol.com.br;;(12) 543-6028;;Rua Cel. José de Castro,848 - sala4;;;;17001-450;Cruzeiro;SP;;;;;;;Escola Superior
